¬í	ECG	¤ß¸õ²v
0.42	-0.129089	0
0.421	-0.203552	0
0.422	-0.278625	0
0.423	-0.352783	0
0.424	-0.423889	0
0.425	-0.491638	0
0.426	-0.554504	0
0.427	-0.612488	0
0.428	-0.665283	0
0.429	-0.71228	0
0.43	-0.753479	0
0.431	-0.789185	0
0.432	-0.819092	0
0.433	-0.843506	0
0.434	-0.862732	0
0.435	-0.877686	0
0.436	-0.889587	0
0.437	-0.899048	0
0.438	-0.906982	0
0.439	-0.914307	0
0.44	-0.921021	0
0.441	-0.927124	0
0.442	-0.931702	0
0.443	-0.935059	0
0.444	-0.93689	0
0.445	-0.936584	0
0.446	-0.934753	0
0.447	-0.930786	0
0.448	-0.924988	0
0.449	-0.916443	0
0.45	-0.905762	0
0.451	-0.892639	0
0.452	-0.877075	0
0.453	-0.859375	0
0.454	-0.840149	0
0.455	-0.819397	0
0.456	-0.797119	0
0.457	-0.774231	0
0.458	-0.750427	0
0.459	-0.726318	0
0.46	-0.702209	0
0.461	-0.678406	0
0.462	-0.655518	0
0.463	-0.63324	0
0.464	-0.612488	0
0.465	-0.593262	0
0.466	-0.575562	0
0.467	-0.559387	0
0.468	-0.544739	0
0.469	-0.532227	0
0.47	-0.521545	0
0.471	-0.51239	0
0.472	-0.505371	0
0.473	-0.500183	0
0.474	-0.495911	0
0.475	-0.492859	0
0.476	-0.490417	0
0.477	-0.488586	0
0.478	-0.487061	0
0.479	-0.485229	0
0.48	-0.483398	0
0.481	-0.481262	0
0.482	-0.478821	0
0.483	-0.476379	0
0.484	-0.473022	0
0.485	-0.46936	0
0.486	-0.464783	0
0.487	-0.4599	0
0.488	-0.454407	0
0.489	-0.448914	0
0.49	-0.443115	0
0.491	-0.437317	0
0.492	-0.431824	0
0.493	-0.426331	0
0.494	-0.421448	0
0.495	-0.417175	0
0.496	-0.413513	0
0.497	-0.410156	0
0.498	-0.407715	0
0.499	-0.405579	0
0.5	-0.403748	0
0.501	-0.401917	0
0.502	-0.400085	0
0.503	-0.398254	0
0.504	-0.396118	0
0.505	-0.393982	0
0.506	-0.391541	0
0.507	-0.389099	0
0.508	-0.386353	0
0.509	-0.383606	0
0.51	-0.380859	0
0.511	-0.378113	0
0.512	-0.375061	0
0.513	-0.371704	0
0.514	-0.368347	0
0.515	-0.36499	0
0.516	-0.361633	0
0.517	-0.358276	0
0.518	-0.354919	0
0.519	-0.350647	0
0.52	-0.346375	0
0.521	-0.341797	0
0.522	-0.336609	0
0.523	-0.331116	0
0.524	-0.325012	0
0.525	-0.318604	0
0.526	-0.3125	0
0.527	-0.306396	0
0.528	-0.300903	0
0.529	-0.29541	0
0.53	-0.290222	0
0.531	-0.285645	0
0.532	-0.281677	0
0.533	-0.278625	0
0.534	-0.275879	0
0.535	-0.274353	0
0.536	-0.273132	0
0.537	-0.272522	0
0.538	-0.272522	0
0.539	-0.273438	0
0.54	-0.274658	0
0.541	-0.276489	0
0.542	-0.278931	0
0.543	-0.281067	0
0.544	-0.283203	0
0.545	-0.284424	0
0.546	-0.285034	0
0.547	-0.284729	0
0.548	-0.283813	0
0.549	-0.281982	0
0.55	-0.279846	0
0.551	-0.2771	0
0.552	-0.273743	0
0.553	-0.270081	0
0.554	-0.266113	0
0.555	-0.261536	0
0.556	-0.256653	0
0.557	-0.251465	0
0.558	-0.245667	0
0.559	-0.239868	0
0.56	-0.233765	0
0.561	-0.227966	0
0.562	-0.222473	0
0.563	-0.21759	0
0.564	-0.212708	0
0.565	-0.208435	0
0.566	-0.204468	0
0.567	-0.201111	0
0.568	-0.198059	0
0.569	-0.195007	0
0.57	-0.192566	0
0.571	-0.189819	0
0.572	-0.187073	0
0.573	-0.184326	0
0.574	-0.181274	0
0.575	-0.177917	0
0.576	-0.174255	0
0.577	-0.169983	0
0.578	-0.165405	0
0.579	-0.160217	0
0.58	-0.155029	0
0.581	-0.149231	0
0.582	-0.143433	0
0.583	-0.137329	0
0.584	-0.131226	0
0.585	-0.124817	0
0.586	-0.118408	0
0.587	-0.11261	0
0.588	-0.107117	0
0.589	-0.102234	0
0.59	-0.0979614	0
0.591	-0.0942993	0
0.592	-0.0915527	0
0.593	-0.0894165	0
0.594	-0.0881958	0
0.595	-0.0878906	0
0.596	-0.088501	0
0.597	-0.0897217	0
0.598	-0.0915527	0
0.599	-0.093689	0
0.6	-0.0958252	0
0.601	-0.0985718	0
0.602	-0.100708	0
0.603	-0.102844	0
0.604	-0.104675	0
0.605	-0.106201	0
0.606	-0.108032	0
0.607	-0.109253	0
0.608	-0.109863	0
0.609	-0.109253	0
0.61	-0.107727	0
0.611	-0.10498	0
0.612	-0.101318	0
0.613	-0.0970459	0
0.614	-0.0918579	0
0.615	-0.0860596	0
0.616	-0.0796509	0
0.617	-0.072937	0
0.618	-0.0662231	0
0.619	-0.0592041	0
0.62	-0.0521851	0
0.621	-0.045166	0
0.622	-0.038147	0
0.623	-0.0317383	0
0.624	-0.0256348	0
0.625	-0.0201416	0
0.626	-0.015564	0
0.627	-0.0112915	0
0.628	-0.00762939	0
0.629	-0.00457764	0
0.63	-0.00213623	0
0.631	0	0
0.632	0.00183105	0
0.633	0.00335693	0
0.634	0.00427246	0
0.635	0.00488281	0
0.636	0.00518799	0
0.637	0.00579834	0
0.638	0.00610352	0
0.639	0.00610352	0
0.64	0.00579834	0
0.641	0.00518799	0
0.642	0.00396729	0
0.643	0.00274658	0
0.644	0.0012207	0
0.645	-0.000305176	0
0.646	-0.00183105	0
0.647	-0.00366211	0
0.648	-0.00549316	0
0.649	-0.00732422	0
0.65	-0.00946045	0
0.651	-0.0115967	0
0.652	-0.0140381	0
0.653	-0.0161743	0
0.654	-0.0186157	0
0.655	-0.0210571	0
0.656	-0.0234985	0
