L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
1.695	-12.1338	-1.29578	4.21737	-18.1258	-0.0317174
1.7	-12.8784	-2.33786	5.89944	-18.2326	-0.170547
1.705	-18.8965	-3.07329	5.02263	-18.3374	-0.306667
1.71	-23.8403	-3.41132	2.29685	-18.4396	-0.433395
1.715	-25	-3.31288	-0.976782	-18.5382	-0.543828
1.72	-24.762	-2.79601	-3.51624	-18.6325	-0.632217
1.725	-24.2432	-1.93186	-4.4992	-18.7214	-0.694674
1.73	-22.6379	-0.835261	-3.73124	-18.804	-0.728092
1.735	-20.7764	0.351144	-1.61218	-18.8793	-0.730048
1.74	-18.9392	1.47405	1.02465	-18.9463	-0.699388
1.745	-16.748	2.39038	3.1578	-19.0039	-0.636649
1.75	-11.5662	2.98586	3.91887	-19.0513	-0.543037
1.755	-10.4492	3.18944	2.97079	-19.0874	-0.420665
1.76	-14.1357	2.98201	0.734746	-19.1114	-0.272454
1.765	-20.4651	2.39645	-1.7155	-19.1224	-0.103014
1.77	-22.1008	1.51569	-3.16469	-19.1198	0.0815106
1.775	-19.7815	0.458053	-2.9188	-19.103	0.274322
1.78	-18.7866	-0.637035	-1.21858	-19.0715	0.468167
1.785	-21.0388	-1.62863	0.911465	-19.0247	0.65632
1.79	-19.9463	-2.3927	2.31209	-18.9621	0.83271
1.795	-17.6086	-2.83656	2.38775	-18.8835	0.991778
1.8	-15.3931	-2.90989	1.37105	-18.7887	1.12767
1.805	-19.0186	-2.61061	0.00272352	-18.6778	1.2347
1.81	-21.6431	-1.98375	-1.06654	-18.5514	1.30789
1.815	-23.5474	-1.1157	-1.65761	-18.4096	1.34424
1.82	-20.05	-0.123138	-1.94518	-18.2528	1.34196
1.825	-14.3616	0.865641	-2.01494	-18.0814	1.30084
1.83	-11.5662	1.72569	-1.56158	-17.8965	1.22143
1.835	-12.9883	2.35173	-0.103386	-17.6991	1.10456
1.84	-17.0715	2.6682	2.38734	-17.4904	0.952607
1.845	-15.0757	2.6385	4.99096	-17.2718	0.769346
1.85	-6.57349	2.27077	6.04203	-17.0446	0.560167
1.855	-5.25513	1.61645	4.14123	-16.8101	0.330749
1.86	-13.7329	0.762483	-0.668445	-16.5699	0.0866818
1.865	-27.533	-0.182918	-6.43465	-16.3256	-0.165287
1.87	-32.1289	-1.10207	-10.0869	-16.0796	-0.417695
1.875	-27.0447	-1.88044	-9.17445	-15.8341	-0.663575
1.88	-20.2271	-2.42028	-3.48883	-15.5914	-0.896628
1.885	-15.7227	-2.654	4.52453	-15.3534	-1.11103
1.89	-8.47168	-2.5537	10.9299	-15.1223	-1.30085
1.895	-3.00903	-2.13363	12.4268	-14.9002	-1.4608
1.9	-6.87256	-1.44655	8.1796	-14.6896	-1.58668
1.905	-18.7256	-0.576375	0.266717	-14.4927	-1.67482
1.91	-29.8157	0.370481	-7.46946	-14.312	-1.7223
1.915	-27.6794	1.27865	-11.4759	-14.1493	-1.72737
1.92	-17.3279	2.03796	-10.2374	-14.0063	-1.68929
1.925	-10.968	2.55609	-4.81453	-13.8851	-1.60844
1.93	-12.6953	2.76916	1.95956	-13.7875	-1.48708
1.935	-15.8081	2.64882	7.05098	-13.7158	-1.32867
1.94	-7.42188	2.20598	8.63208	-13.6716	-1.13685
1.945	-2.14844	1.48967	6.68629	-13.6561	-0.914949
1.95	-2.47192	0.58213	2.65337	-13.6704	-0.667134
1.955	-15.0024	-0.411677	-1.5092	-13.7155	-0.398954
1.96	-25.354	-1.37557	-4.27999	-13.7922	-0.117486
1.965	-25.2197	-2.19596	-5.0814	-13.901	0.169729
1.97	-19.2932	-2.77415	-4.22669	-14.0422	0.456182
1.975	-14.1052	-3.03802	-2.46303	-14.2159	0.736153
