¬í	EMG	EMG ¿n¤À
1.5	-0.00915527	0.0090271
1.502	-0.00610352	0.00903931
1.504	0.0170898	0.00908203
1.506	-0.010376	0.00917358
1.508	-0.00427246	0.00918579
1.51	0.00488281	0.00911865
1.512	-0.00854492	0.00899048
1.514	0.00549316	0.0090271
1.516	0.0115967	0.00912476
1.518	-0.0250244	0.00930786
1.52	0.0134277	0.00939331
1.522	0.0213623	0.00950317
1.524	0.00305176	0.00927734
1.526	-0.010376	0.00930176
1.528	-0.00610352	0.00924072
1.53	0.00854492	0.00926514
1.532	0.00793457	0.0092041
1.534	0.00732422	0.00909424
1.536	-0.00793457	0.00904541
1.538	0.0128174	0.00913696
1.54	-0.00854492	0.00908813
1.542	-0.00183105	0.00905762
1.544	0.0164795	0.00916748
1.546	-0.0012207	0.00906982
1.548	0.00610352	0.0088562
1.55	0.0134277	0.00897217
1.552	0.00732422	0.00894165
1.554	-0.00915527	0.00886841
1.556	0.0012207	0.00875854
1.558	0	0.00870361
1.56	0.0177002	0.0088562
1.562	-0.0201416	0.00890503
1.564	0.0109863	0.00900269
1.566	-0.0268555	0.00925293
1.568	0.00427246	0.009198
1.57	-0.00732422	0.00922241
1.572	-0.0134277	0.00925903
1.574	0.0012207	0.00915527
1.576	-0.0170898	0.00905762
1.578	0.00610352	0.00897217
1.58	-0.00488281	0.00894165
1.582	-0.00854492	0.00900269
1.584	0.00488281	0.00904541
1.586	0.00793457	0.00900879
1.588	0.0201416	0.00910645
1.59	-0.0146484	0.00918579
1.592	0.00366211	0.00917358
1.594	0.00732422	0.00906982
1.596	0.00793457	0.00913696
1.598	-0.00854492	0.00914917
1.6	0.0158691	0.00929565
1.602	-0.0164795	0.00930786
1.604	0.00854492	0.00934448
1.606	-0.00488281	0.009375
1.608	0.00915527	0.00936279
1.61	-0.0244141	0.00953369
1.612	0.020752	0.00952148
1.614	0.00549316	0.00936279
1.616	0.00793457	0.00931396
1.618	-0.00732422	0.00925293
1.62	0.010376	0.00926514
1.622	0.0140381	0.00940552
1.624	-0.00244141	0.00924683
1.626	0.0140381	0.00925903
1.628	0.010376	0.00935059
1.63	-0.0189209	0.00938721
1.632	-0.00244141	0.009375
1.634	0.00671387	0.0093811
1.636	0.0115967	0.00942383
1.638	-0.00732422	0.00945435
1.64	-0.0268555	0.00964966
1.642	0.00244141	0.00966187
1.644	-0.0128174	0.0097229
1.646	0.00427246	0.00975342
1.648	0	0.00970459
1.65	0.00915527	0.00966187
1.652	-0.0146484	0.00975952
1.654	0.00488281	0.00968628
1.656	-0.00610352	0.00971069
1.658	-0.00244141	0.0097168
1.66	0.00915527	0.00970459
1.662	0.00671387	0.0097168
1.664	-0.0115967	0.00977783
1.666	0.00915527	0.00968018
1.668	-0.0012207	0.00950317
1.67	-0.00732422	0.00942993
1.672	0.00671387	0.00945435
1.674	0.00183105	0.00941162
1.676	-0.0183105	0.0095459
1.678	-0.0134277	0.00944214
1.68	0.0195313	0.00961914
1.682	-0.0231934	0.00968018
1.684	0.00366211	0.00952759
1.686	0.00366211	0.00953979
1.688	0.0134277	0.00960693
1.69	0.00244141	0.00957031
1.692	0.0152588	0.00957031
1.694	0.0256348	0.00981445
1.696	-0.0262451	0.0100159
1.698	-0.00366211	0.0100525
1.7	0.012207	0.010083
1.702	-0.012207	0.010144
1.704	-0.000610352	0.00997925
1.706	-0.010376	0.00997925
1.708	-0.0164795	0.0101013
1.71	-0.00305176	0.010083
