¬í	ECG	¤ß¸õ²v
1.033	0.0271606	0
1.034	0.0222778	0
1.035	0.017395	0
1.036	0.012207	0
1.037	0.00732422	0
1.038	0.00213623	0
1.039	-0.00335693	0
1.04	-0.00854492	0
1.041	-0.0140381	0
1.042	-0.0198364	0
1.043	-0.0256348	0
1.044	-0.0317383	0
1.045	-0.0378418	0
1.046	-0.0436401	0
1.047	-0.0494385	0
1.048	-0.055542	0
1.049	-0.0613403	0
1.05	-0.0671387	0
1.051	-0.0732422	0
1.052	-0.0790405	0
1.053	-0.0848389	0
1.054	-0.0909424	0
1.055	-0.0967407	0
1.056	-0.102234	0
1.057	-0.108032	0
1.058	-0.113525	0
1.059	-0.119019	0
1.06	-0.124207	0
1.061	-0.129395	0
1.062	-0.134583	0
1.063	-0.139771	0
1.064	-0.144653	0
1.065	-0.149231	0
1.066	-0.153809	0
1.067	-0.158386	0
1.068	-0.162964	0
1.069	-0.167542	0
1.07	-0.171814	0
1.071	-0.176086	0
1.072	-0.180054	0
1.073	-0.184021	0
1.074	-0.187683	0
1.075	-0.191345	0
1.076	-0.195007	0
1.077	-0.198669	0
1.078	-0.201721	0
1.079	-0.205078	0
1.08	-0.207825	0
1.081	-0.210266	0
1.082	-0.212402	0
1.083	-0.214539	0
1.084	-0.215759	0
1.085	-0.21698	0
1.086	-0.217896	0
1.087	-0.218201	0
1.088	-0.218506	0
1.089	-0.218506	0
1.09	-0.218506	0
1.091	-0.218506	0
1.092	-0.218506	0
1.093	-0.218506	0
1.094	-0.218811	0
1.095	-0.219116	0
1.096	-0.219421	0
1.097	-0.220032	0
1.098	-0.220947	0
1.099	-0.221863	0
1.1	-0.223083	0
1.101	-0.223999	0
1.102	-0.22522	0
1.103	-0.22644	0
1.104	-0.227661	0
1.105	-0.228882	0
1.106	-0.229797	0
1.107	-0.230713	0
1.108	-0.231323	0
1.109	-0.231628	0
1.11	-0.231628	0
1.111	-0.231628	0
1.112	-0.231018	0
1.113	-0.230713	0
1.114	-0.230103	0
1.115	-0.229492	0
1.116	-0.228577	0
1.117	-0.227966	0
1.118	-0.227051	0
1.119	-0.22644	0
1.12	-0.22583	0
1.121	-0.225525	0
1.122	-0.224915	0
1.123	-0.224609	0
1.124	-0.224609	0
1.125	-0.224304	0
1.126	-0.223999	0
1.127	-0.223694	0
1.128	-0.223694	0
1.129	-0.223389	0
1.13	-0.223083	0
1.131	-0.223083	0
1.132	-0.222778	0
1.133	-0.222473	0
1.134	-0.222473	0
1.135	-0.222168	0
1.136	-0.221863	0
1.137	-0.221558	0
1.138	-0.220947	0
1.139	-0.220642	0
1.14	-0.220032	0
1.141	-0.219421	0
1.142	-0.218811	0
1.143	-0.218201	0
1.144	-0.21759	0
1.145	-0.217285	0
1.146	-0.216675	0
1.147	-0.21637	0
1.148	-0.216064	0
1.149	-0.215759	0
1.15	-0.215759	0
1.151	-0.215759	0
1.152	-0.215759	0
1.153	-0.216064	0
1.154	-0.21637	0
1.155	-0.21698	0
